old_dir,old_slug,new_dir_slug,new_category_name,new_slug,kb_type,title,tags,confidence,assign_reason,review_note
concepts,concepts/rbac-权限模型,security,网络与安全,security/rbac-权限模型,concept,RBAC 权限模型,权限|RBAC|Shiro|安全,high,override:stem,
concepts,concepts/redis-缓存,cache,缓存与 Redis,cache/redis-缓存,concept,Redis 缓存,redis|缓存|性能|会话,high,"rule:cache,security",
concepts,concepts/sentinel-限流与熔断,middleware,微服务与中间件,middleware/sentinel-限流与熔断,concept,Sentinel 限流与熔断,sentinel|限流|熔断|微服务|高可用,high,rule:middleware,
concepts,concepts/shiro-鉴权体系,security,网络与安全,security/shiro-鉴权体系,concept,Shiro 鉴权体系,Shiro|鉴权|SSO|微服务,high,"rule:middleware,security",
concepts,concepts/spring-aop与代理,spring,Spring 生态,spring/spring-aop与代理,concept,Spring AOP 与代理,Spring|AOP|代理,high,rule:spring,
concepts,concepts/spring-async与线程池,spring,Spring 生态,spring/spring-async与线程池,concept,Spring @Async 与线程池,Spring|并发|异步,high,"rule:spring,java",
concepts,concepts/spring-boot-自动配置,spring,Spring 生态,spring/spring-boot-自动配置,concept,Spring Boot 自动配置,spring-boot|自动配置|starter,high,rule:spring,
concepts,concepts/spring-cloud-gateway,spring,Spring 生态,spring/spring-cloud-gateway,concept,Spring Cloud Gateway,gateway|Spring|Cloud|微服务|WebFlux,high,"rule:spring,middleware",
concepts,concepts/spring-ioc与bean生命周期,spring,Spring 生态,spring/spring-ioc与bean生命周期,concept,Spring IoC 与 Bean 生命周期,spring|IoC|Bean|生命周期,high,rule:spring,
concepts,concepts/spring-声明式事务,spring,Spring 生态,spring/spring-声明式事务,concept,Spring 声明式事务,spring|事务|transactional,high,rule:spring,
concepts,concepts/threadlocal-与上下文传递,security,网络与安全,security/threadlocal-与上下文传递,concept,ThreadLocal 与上下文传递,Java|并发|鉴权,high,"rule:security,java",
concepts,concepts/tomcat与-servlet容器,java,Java 与 JVM,java/tomcat与-servlet容器,concept,Tomcat 与 Servlet 容器,tomcat|servlet|Spring|Boot|HTTP,high,override:stem,
concepts,concepts/zookeeper-与协调服务,middleware,微服务与中间件,middleware/zookeeper-与协调服务,concept,Zookeeper 与协调服务,Zookeeper|分布式|CAP|Dubbo,high,rule:middleware,
concepts,concepts/分布式id生成,database,数据库,database/分布式id生成,concept,分布式 ID 生成,分布式|ID|雪花算法,high,"rule:database,middleware",
concepts,concepts/分布式事务,middleware,微服务与中间件,middleware/分布式事务,concept,分布式事务,分布式事务|Seata|MQ|一致性,high,override:stem,
concepts,concepts/分布式理论基础,middleware,微服务与中间件,middleware/分布式理论基础,concept,分布式理论基础,分布式|CAP|BASE|一致性,high,override:stem,
concepts,concepts/分布式锁,cache,缓存与 Redis,cache/分布式锁,concept,分布式锁,分布式锁|分布式|Redis|Zookeeper|并发,high,override:stem,
concepts,concepts/前端技术栈,frontend,前端,frontend/前端技术栈,concept,前端技术栈,前端|Vue|ElementUI|axios,high,override:stem,
concepts,concepts/容器与-docker,ops,运维与 Linux,ops/容器与-docker,concept,容器与 Docker,Docker|容器|部署|DevOps,high,rule:ops,
concepts,concepts/容量规划与水平扩展,ops,运维与 Linux,ops/容量规划与水平扩展,concept,容量规划与水平扩展,架构|性能|运维,high,override:stem,
concepts,concepts/延迟消息与队列,cache,缓存与 Redis,cache/延迟消息与队列,concept,延迟消息与队列,MQ|延迟队列|定时,high,rule:cache,
concepts,concepts/消息队列,middleware,微服务与中间件,middleware/消息队列,concept,消息队列,MQ|消息队列|削峰|解耦,high,override:stem,
concepts,concepts/蓝绿与滚动发布,ops,运维与 Linux,ops/蓝绿与滚动发布,concept,蓝绿与滚动发布,DevOps|部署|发布,high,override:stem,
concepts,concepts/认证与会话机制,security,网络与安全,security/认证与会话机制,concept,认证与会话机制,认证|Shiro|Session|Redis|安全,high,override:stem,
concepts,concepts/设计模式,patterns,设计模式,patterns/设计模式,concept,设计模式,设计模式|Spring|架构,high,override:stem,
articles,articles/api-向后兼容策略,middleware,微服务与中间件,middleware/api-向后兼容策略,article,API 向后兼容策略,API|设计|微服务,high,rule:middleware,
articles,articles/api-接口安全设计,security,网络与安全,security/api-接口安全设计,article,API 接口安全设计,安全|API|鉴权|防刷,high,rule:security,
articles,articles/arthas-在线诊断,java,Java 与 JVM,java/arthas-在线诊断,article,Arthas 在线诊断入门,JVM|排查|运维,high,"rule:ops,java",
articles,articles/bcrypt-密码哈希与加盐,security,网络与安全,security/bcrypt-密码哈希与加盐,article,BCrypt 密码哈希与加盐,安全|鉴权,high,rule:security,
articles,articles/bio-nio-aio对比,java,Java 与 JVM,java/bio-nio-aio对比,article,BIO NIO AIO 对比,BIO|NIO|AIO|Selector,high,override:stem,
articles,articles/bi报表服务演进路线,middleware,微服务与中间件,middleware/bi报表服务演进路线,article,BI 报表服务演进路线,BI|报表|演进|设计,high,rule:middleware,
articles,articles/cache-aside与缓存更新模式,cache,缓存与 Redis,cache/cache-aside与缓存更新模式,article,Cache-Aside 与缓存更新模式,redis|缓存|Cache-Aside|一致性,high,rule:cache,
articles,articles/caffeine-本地缓存实践,cache,缓存与 Redis,cache/caffeine-本地缓存实践,article,Caffeine 本地缓存实践,缓存|Java|性能,high,rule:cache,
articles,articles/completablefuture-异步编排,java,Java 与 JVM,java/completablefuture-异步编排,article,CompletableFuture 异步编排,Java|并发|异步,high,rule:java,
articles,articles/concurrenthashmap原理,java,Java 与 JVM,java/concurrenthashmap原理,article,ConcurrentHashMap 原理,java|ConcurrentHashMap|并发集合|CAS|分段锁,high,rule:java,
articles,articles/csrf与xss防护,security,网络与安全,security/csrf与xss防护,article,CSRF 与 XSS 防护,安全|Web|前端,high,"rule:security,frontend",
articles,articles/druid-连接池泄漏排查,database,数据库,database/druid-连接池泄漏排查,article,Druid 连接池泄漏排查,MySQL|Druid|排查,high,"rule:database,ops",
articles,articles/druid连接池与监控,database,数据库,database/druid连接池与监控,article,Druid 连接池与监控,druid|连接池|监控|prometheus,high,"rule:database,ops",
articles,articles/dubbo-调用原理与分层,middleware,微服务与中间件,middleware/dubbo-调用原理与分层,article,Dubbo 调用原理与分层,dubbo|RPC|微服务,high,rule:middleware,
articles,articles/dubbo-超时链路传递,middleware,微服务与中间件,middleware/dubbo-超时链路传递,article,Dubbo 超时与链路传递,Dubbo|RPC|超时,high,rule:middleware,
articles,articles/elasticsearch-ik分词与分析器,search,搜索与 ES,search/elasticsearch-ik分词与分析器,article,Elasticsearch IK 分词与分析器,Elasticsearch|搜索|知识库,high,rule:search,
articles,articles/enableautoconfiguration原理,spring,Spring 生态,spring/enableautoconfiguration原理,article,@EnableAutoConfiguration 原理,spring-boot|自动配置|spring|factories,high,rule:spring,
articles,articles/es-match与bool查询,search,搜索与 ES,search/es-match与bool查询,article,ES match 与 bool 查询,elasticsearch|DSL|match|bool,high,rule:search,
articles,articles/es-搜索与分片路由,search,搜索与 ES,search/es-搜索与分片路由,article,ES 搜索与分片路由,elasticsearch|搜索|分片|Query-Then-Fetch,high,rule:search,
articles,articles/es-索引与写入流程,search,搜索与 ES,search/es-索引与写入流程,article,ES 索引与写入流程,elasticsearch|写入|refresh|translog,high,"rule:search,database",
articles,articles/feign-开发踩坑,middleware,微服务与中间件,middleware/feign-开发踩坑,article,Feign 开发踩坑,Feign|Spring|Cloud|踩坑,high,rule:middleware,
articles,articles/feign-超时重试配置,middleware,微服务与中间件,middleware/feign-超时重试配置,article,Feign 超时重试配置,Feign|Spring|Cloud|超时,high,rule:middleware,
articles,articles/flyway-数据库版本迁移,database,数据库,database/flyway-数据库版本迁移,article,Flyway 数据库版本迁移,MySQL|DevOps|数据库,high,"rule:database,ops",
articles,articles/gateway-超时与重试配置,middleware,微服务与中间件,middleware/gateway-超时与重试配置,article,Gateway 超时与重试配置,Gateway|Spring|Cloud|超时,high,rule:middleware,
articles,articles/gateway-路由与过滤器,middleware,微服务与中间件,middleware/gateway-路由与过滤器,article,Gateway 路由与过滤器,gateway|路由|Filter|Sentinel,high,rule:middleware,
articles,articles/https与-tls基础,security,网络与安全,security/https与-tls基础,article,HTTPS 与 TLS 基础,HTTPS|TLS|安全|网络,high,rule:security,
articles,articles/java-cpu-100排查实战,java,Java 与 JVM,java/java-cpu-100排查实战,article,Java CPU 100% 排查实战,JVM|排查|CPU|运维,high,"rule:ops,java",
articles,articles/juc-并发工具类,java,Java 与 JVM,java/juc-并发工具类,article,JUC 并发工具类,Java|并发|JUC,high,rule:java,
articles,articles/jvm-gc调优实战,java,Java 与 JVM,java/jvm-gc调优实战,article,JVM GC 调优实战,JVM|GC|性能,high,"rule:ops,java",
articles,articles/jvm-oom与排查入门,java,Java 与 JVM,java/jvm-oom与排查入门,article,JVM OOM 与排查入门,jvm|OOM|排查|调优,high,"rule:ops,java",
articles,articles/jvm-垃圾收集算法与收集器,java,Java 与 JVM,java/jvm-垃圾收集算法与收集器,article,JVM 垃圾收集算法与收集器,jvm|GC|G1|CMS,high,rule:java,
articles,articles/k8s-健康检查探针,ops,运维与 Linux,ops/k8s-健康检查探针,article,K8s 健康检查探针,K8s|运维|监控,high,rule:ops,
articles,articles/kafka-与-mq选型,middleware,微服务与中间件,middleware/kafka-与-mq选型,article,Kafka 与 MQ 选型,kafka|rocketmq|rabbitmq|选型,high,rule:middleware,
articles,articles/linux-ulimit与文件句柄,ops,运维与 Linux,ops/linux-ulimit与文件句柄,article,Linux ulimit 与文件句柄,Linux|运维|排查,high,rule:ops,
articles,articles/loadtest-profile与压测登录,middleware,微服务与中间件,middleware/loadtest-profile与压测登录,article,loadtest Profile 与压测登录,压测|loadtest|user-center|Shiro,high,"rule:middleware,security",
articles,articles/mdc-日志链路上下文,java,Java 与 JVM,java/mdc-日志链路上下文,article,MDC 日志链路上下文,日志|可观测性|并发,high,"rule:ops,java",
articles,articles/mybatis-plus-用法与注入防护,database,数据库,database/mybatis-plus-用法与注入防护,article,MyBatis-Plus 用法与注入防护,mybatis|mybatis-plus|SQL注入|持久层,high,override:stem,
articles,articles/mysql-binlog与canal同步,database,数据库,database/mysql-binlog与canal同步,article,MySQL Binlog 与 Canal 同步,MySQL|Binlog|Canal|同步,high,rule:database,
articles,articles/mysql-innodb锁机制,database,数据库,database/mysql-innodb锁机制,article,MySQL InnoDB 锁机制,mysql|InnoDB|行锁|MDL|间隙锁,high,rule:database,
articles,articles/mysql-slow-log慢查询分析,database,数据库,database/mysql-slow-log慢查询分析,article,MySQL Slow Log 慢查询分析,MySQL|性能|排查,high,"rule:database,ops",
articles,articles/mysql-复合索引与最左前缀,database,数据库,database/mysql-复合索引与最左前缀,article,MySQL 复合索引与最左前缀,mysql|索引|复合索引|最左前缀|性能优化,high,rule:database,
articles,articles/mysql-死锁与排查,database,数据库,database/mysql-死锁与排查,article,MySQL 死锁与排查,mysql|死锁|InnoDB|排查,high,"rule:database,ops",
articles,articles/mysql-深分页与慢sql优化,database,数据库,database/mysql-深分页与慢sql优化,article,MySQL 深分页与慢 SQL 优化,mysql|慢sql|分页|优化,high,rule:database,
articles,articles/mysql-索引失效场景,database,数据库,database/mysql-索引失效场景,article,MySQL 索引失效场景,mysql|索引|优化|EXPLAIN|踩坑,high,rule:database,
articles,articles/mysql-覆盖索引与回表优化,database,数据库,database/mysql-覆盖索引与回表优化,article,MySQL 覆盖索引与回表优化,mysql|索引|覆盖索引|回表|EXPLAIN,high,rule:database,
articles,articles/mysql-隔离级别与mvcc,database,数据库,database/mysql-隔离级别与mvcc,article,MySQL 隔离级别与 MVCC,mysql|MVCC|隔离级别|快照读,high,rule:database,
articles,articles/nacos-config动态配置实践,middleware,微服务与中间件,middleware/nacos-config动态配置实践,article,Nacos Config 动态配置实践,nacos|配置中心|RefreshScope,high,rule:middleware,
articles,articles/nacos-注册与配置,middleware,微服务与中间件,middleware/nacos-注册与配置,article,Nacos 注册与配置,nacos|注册发现|配置中心,high,rule:middleware,
articles,articles/netty-pipeline与编解码,middleware,微服务与中间件,middleware/netty-pipeline与编解码,article,Netty Pipeline 与编解码,netty|Pipeline|粘包|编解码,high,rule:middleware,
articles,articles/netty-reactor与线程模型,middleware,微服务与中间件,middleware/netty-reactor与线程模型,article,Netty Reactor 与线程模型,netty|Reactor|EventLoop|线程模型,high,"rule:middleware,frontend",
articles,articles/nginx-限流与缓冲调优,middleware,微服务与中间件,middleware/nginx-限流与缓冲调优,article,Nginx 限流与缓冲调优,Nginx|限流|运维,high,"rule:middleware,ops",
articles,articles/okhttp-与-http客户端,middleware,微服务与中间件,middleware/okhttp-与-http客户端,article,OkHttp 与 HTTP 客户端选型,HTTP|Java|网络,high,rule:middleware,
articles,articles/pact-契约测试入门,middleware,微服务与中间件,middleware/pact-契约测试入门,article,Pact 契约测试入门,测试|微服务|API,high,rule:middleware,
articles,articles/production-jvm启动参数,java,Java 与 JVM,java/production-jvm启动参数,article,生产环境 JVM 启动参数,jvm|运维|生产|GC,high,"rule:ops,java",
articles,articles/prometheus-告警规则设计,ops,运维与 Linux,ops/prometheus-告警规则设计,article,Prometheus 告警规则设计,Prometheus|监控|运维,high,rule:ops,
articles,articles/rabbitmq-入门与使用场景,middleware,微服务与中间件,middleware/rabbitmq-入门与使用场景,article,RabbitMQ 入门与使用场景,RabbitMQ|MQ|AMQP,high,rule:middleware,
articles,articles/redis-实现延迟队列,cache,缓存与 Redis,cache/redis-实现延迟队列,article,Redis 实现延迟队列,Redis|延迟队列|ZSet,high,rule:cache,
articles,articles/redis-持久化与高可用,cache,缓存与 Redis,cache/redis-持久化与高可用,article,Redis 持久化与高可用,redis|RDB|AOF|高可用,high,rule:cache,
articles,articles/redis-数据结构与使用场景,cache,缓存与 Redis,cache/redis-数据结构与使用场景,article,Redis 数据结构与使用场景,redis|数据结构|场景,high,rule:cache,
articles,articles/redis-集群与哨兵实践,cache,缓存与 Redis,cache/redis-集群与哨兵实践,article,Redis 集群与哨兵实践,redis|集群|哨兵|高可用,high,rule:cache,
articles,articles/redisson-看门狗与分布式锁,cache,缓存与 Redis,cache/redisson-看门狗与分布式锁,article,Redisson 看门狗与分布式锁,Redisson|Redis|分布式锁,high,"rule:cache,security",
articles,articles/redis分布式锁实现,cache,缓存与 Redis,cache/redis分布式锁实现,article,Redis 分布式锁实现（演进与正确姿势）,分布式锁|Redis|Redisson|Redlock|Lua,high,"rule:cache,security",
articles,articles/rocketmq-事务消息实践,middleware,微服务与中间件,middleware/rocketmq-事务消息实践,article,RocketMQ 事务消息实践,RocketMQ|分布式事务|最终一致,high,rule:middleware,
articles,articles/rocketmq-架构与实战,middleware,微服务与中间件,middleware/rocketmq-架构与实战,article,RocketMQ 架构与实战,RocketMQ|MQ|消息队列,high,rule:middleware,
articles,articles/rocketmq-消息堆积排查,middleware,微服务与中间件,middleware/rocketmq-消息堆积排查,article,RocketMQ 消息堆积排查,RocketMQ|MQ|排查,high,"rule:middleware,ops",
articles,articles/rpc-超时重试与链路,middleware,微服务与中间件,middleware/rpc-超时重试与链路,article,RPC 超时重试与链路,Dubbo|RPC|超时|重试,high,rule:middleware,
articles,articles/sentinel-接入与规则配置,middleware,微服务与中间件,middleware/sentinel-接入与规则配置,article,Sentinel 接入与规则配置,sentinel|gateway|dubbo|配置,high,rule:middleware,
articles,articles/servlet生命周期与请求流程,java,Java 与 JVM,java/servlet生命周期与请求流程,article,Servlet 生命周期与请求流程,servlet|tomcat|Filter|生命周期,high,rule:java,
articles,articles/shiro-starter与跨服务校验,security,网络与安全,security/shiro-starter与跨服务校验,article,Shiro Starter 与跨服务校验,Shiro|Starter|Dubbo|微服务|循环依赖|SpringBoot,high,"rule:spring,middleware,security",
articles,articles/spring-aop执行流程,spring,Spring 生态,spring/spring-aop执行流程,article,Spring AOP 执行流程,Spring|AOP|源码,high,rule:spring,
articles,articles/spring-application启动流程,spring,Spring 生态,spring/spring-application启动流程,article,SpringApplication 启动流程,spring-boot|启动|生命周期,high,rule:spring,
articles,articles/spring-boot-启动优化,spring,Spring 生态,spring/spring-boot-启动优化,article,Spring Boot 启动优化,Spring|Boot|性能|JVM,high,"rule:spring,ops,java",
articles,articles/spring-cache-注解缓存,spring,Spring 生态,spring/spring-cache-注解缓存,article,Spring Cache 注解缓存,Spring|缓存|Redis,high,"rule:cache,spring",
articles,articles/spring-mvc请求流程,spring,Spring 生态,spring/spring-mvc请求流程,article,Spring MVC 请求流程,spring|SpringMVC|DispatcherServlet,high,rule:spring,
articles,articles/spring-三级缓存与循环依赖,spring,Spring 生态,spring/spring-三级缓存与循环依赖,article,Spring 三级缓存与循环依赖,spring|循环依赖|三级缓存|AOP,high,"rule:cache,spring",
articles,articles/spring框架中的设计模式,patterns,设计模式,patterns/spring框架中的设计模式,article,Spring 框架中的设计模式,Spring|设计模式|IoC|AOP,high,override:stem,
articles,articles/sse-服务端推送,middleware,微服务与中间件,middleware/sse-服务端推送,article,SSE 服务端推送,HTTP|实时|前端,high,"rule:middleware,frontend",
articles,articles/sso与系统门户,security,网络与安全,security/sso与系统门户,article,SSO 与系统门户,SSO|门户|sys_system|多系统,high,override:stem,
articles,articles/synchronized与锁原理,java,Java 与 JVM,java/synchronized与锁原理,article,synchronized 与锁原理,java|synchronized|锁升级|偏向锁|监视器,high,rule:java,
articles,articles/testcontainers-集成测试,database,数据库,database/testcontainers-集成测试,article,Testcontainers 集成测试,测试|Docker|MySQL,high,"rule:database,ops",
articles,articles/transmittable-thread-local跨线程,java,Java 与 JVM,java/transmittable-thread-local跨线程,article,TransmittableThreadLocal 跨线程传递,Java|并发|可观测性,high,rule:java,
articles,articles/volatile与可见性,java,Java 与 JVM,java/volatile与可见性,article,volatile 与可见性,java|volatile|可见性|有序性|DCL,high,rule:java,
articles,articles/webclient-与-resttemplate,middleware,微服务与中间件,middleware/webclient-与-resttemplate,article,WebClient 与 RestTemplate 对比,Spring|HTTP|WebFlux,high,rule:middleware,
articles,articles/压测监控与prometheus,middleware,微服务与中间件,middleware/压测监控与prometheus,article,压测监控与 Prometheus,压测|Prometheus|Grafana|监控,high,"rule:middleware,ops",
articles,articles/字段级数据权限设计,security,网络与安全,security/字段级数据权限设计,article,字段级数据权限设计,权限|RBAC|数据权限|设计,high,rule:security,
articles,articles/接口幂等性实践,middleware,微服务与中间件,middleware/接口幂等性实践,article,接口幂等性实践,幂等|分布式|Redis|秒杀,high,override:stem,
articles,articles/生产环境服务启停脚本,ops,运维与 Linux,ops/生产环境服务启停脚本,article,生产环境服务启停脚本,运维|shell|部署|生产,high,rule:ops,
articles,articles/缓存双写与一致性策略,cache,缓存与 Redis,cache/缓存双写与一致性策略,article,缓存双写与一致性策略,缓存|一致性|Redis,high,rule:cache,
articles,articles/网络-端口与连通性排查,ops,运维与 Linux,ops/网络-端口与连通性排查,article,网络端口与连通性排查,Linux|网络|排查,high,override:stem,
articles,articles/跨域与前后端分离,middleware,微服务与中间件,middleware/跨域与前后端分离,article,跨域与前后端分离,CORS|前端|Gateway|Nginx,high,override:stem,
articles,articles/限流算法与令牌桶,middleware,微服务与中间件,middleware/限流算法与令牌桶,article,限流算法与令牌桶,限流|令牌桶|漏桶|高并发,high,override:stem,
articles,articles/雪花算法与时钟回拨,database,数据库,database/雪花算法与时钟回拨,article,雪花算法与时钟回拨,雪花算法|分布式|ID,high,rule:database,
interview,interview/dubbo-面试题,middleware,微服务与中间件,middleware/dubbo-面试题,interview,Dubbo（面试题系列）,dubbo|nacos|面试题|RPC,high,rule:middleware,
interview,interview/elasticsearch-面试题,search,搜索与 ES,search/elasticsearch-面试题,interview,Elasticsearch 面试题,elasticsearch|面试|Lucene,high,rule:search,
interview,interview/hashmap-面试题,java,Java 与 JVM,java/hashmap-面试题,interview,HashMap 面试题,面试|HashMap|Java,high,override:stem,
interview,interview/http与-servlet面试题,java,Java 与 JVM,java/http与-servlet面试题,interview,HTTP 与 Servlet 面试题,HTTP|Servlet|Tomcat|面试,high,rule:java,
interview,interview/java-并发面试题,java,Java 与 JVM,java/java-并发面试题,interview,Java 并发（面试题系列）,java|并发|面试题|JMM|线程池,high,rule:java,
interview,interview/jvm-面试题,java,Java 与 JVM,java/jvm-面试题,interview,JVM（面试题系列）,jvm|面试题|GC|内存,high,rule:java,
interview,interview/mysql-事务面试题,database,数据库,database/mysql-事务面试题,interview,MySQL 事务与锁（面试题系列）,mysql|事务|锁|面试题|MVCC,high,rule:database,
interview,interview/mysql-索引面试题,database,数据库,database/mysql-索引面试题,interview,MySQL 索引（面试题系列）,mysql|索引|面试题|InnoDB|B+Tree,high,rule:database,
interview,interview/netty-与-io面试题,middleware,微服务与中间件,middleware/netty-与-io面试题,interview,Netty 与 IO 面试题,netty|NIO|面试|IO,high,rule:middleware,
interview,interview/redis-面试题,cache,缓存与 Redis,cache/redis-面试题,interview,Redis（面试题系列）,redis|缓存|面试题,high,rule:cache,
interview,interview/sentinel-面试题,middleware,微服务与中间件,middleware/sentinel-面试题,interview,Sentinel 面试题,sentinel|面试|限流|熔断,high,rule:middleware,
interview,interview/shiro-面试题,security,网络与安全,security/shiro-面试题,interview,Shiro 与 SSO（面试题系列）,Shiro|SSO|面试题|鉴权,high,rule:security,
interview,interview/spring-boot-面试题,spring,Spring 生态,spring/spring-boot-面试题,interview,Spring Boot（面试题系列）,spring-boot|自动配置|面试题,high,rule:spring,
interview,interview/spring-事务,spring,Spring 生态,spring/spring-事务,interview,Spring 事务（面试题系列）,Spring|事务|Transaction|面试题|Java,high,rule:spring,
interview,interview/spring-容器面试题,spring,Spring 生态,spring/spring-容器面试题,interview,Spring 容器（面试题系列）,spring|IoC|循环依赖|面试题,high,rule:spring,
interview,interview/zookeeper-面试题,middleware,微服务与中间件,middleware/zookeeper-面试题,interview,Zookeeper 面试题,面试|Zookeeper|分布式,high,rule:middleware,
interview,interview/分布式id面试题,middleware,微服务与中间件,middleware/分布式id面试题,interview,分布式 ID 面试题,面试|分布式|ID,high,override:stem,
interview,interview/分布式理论面试题,middleware,微服务与中间件,middleware/分布式理论面试题,interview,分布式理论面试题,面试|CAP|BASE|幂等,high,override:stem,
interview,interview/分布式锁面试题,cache,缓存与 Redis,cache/分布式锁面试题,interview,分布式锁（面试题系列）,分布式锁|Redis|Zookeeper|面试题|并发,high,"rule:cache,middleware,java",
interview,interview/前端基础面试题,frontend,前端,frontend/前端基础面试题,interview,前端基础面试题,面试|前端|CORS|Vue,high,override:stem,
interview,interview/异步编程面试题,java,Java 与 JVM,java/异步编程面试题,interview,异步编程（面试题）,Java|并发|异步|面试题|Spring,high,rule:java,
interview,interview/设计模式面试题,patterns,设计模式,patterns/设计模式面试题,interview,设计模式面试题,设计模式|面试|Spring,high,rule:patterns,
